ord_value,organism_name,organism_category,,
" 10,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
 100 ACINETOBACTER BAUMANII,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
" 20,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
" 500,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"^ACINETOBACTER BAUMANII FOR SUSCEPTIBILITY RESULTS, REFER TO CULTURE M40229, ^ 8/21/14",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"^ACINETOBACTER BAUMANII FOR SUSCEPTIBILITY RESULTS, REFER TO CULTURE T27117 ON ^ 9/26/2014",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
^ACINETOBACTER BAUMANII IN BOTH ANTIBIOTIC RESIN REMOVAL BOTTLES,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"10,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"10,000 CGT ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"100,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"100,000 ACINETOBACTER BAUMANII STRAIN 2",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"110,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"120,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
1200 ACINETOBACTER BAUMANII,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
130000 ACINETOBACTER BAUMANII,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
140000 ACINETOBACTER BAUMANII STRAIN 2,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"150,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"160,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"170,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"190,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
