location_category,location_name,n,site
ER,JHH EMERGENCY MEDICINE,392128,JHU
ER,BMC EMERGENCY SERVICES,119802,JHU
ER,HCGH EMERGENCY-ADULTS,110820,JHU
ER,SH EMERGENCY MAIN,66970,JHU
ER,SMH EMERGENCY DEPARTMENT,41975,JHU
ER,ZDEAC JHH EMERGENCYDEP,9983,JHU
ER,ZDEAC SMH EMERGENCY,5603,JHU
ER,JHH PEDS ED,2962,JHU
ER,ZDEAC JHH PEDS EMER,269,JHU
ER,DEAC BMC ED OBSERVATION,23,JHU
ER,BMC PEDS EMERGENCY DT,18,JHU
ER,ACH PED EMERGENCY,9,JHU
ER,SH EMERGENCY PEDS,3,JHU
ER,HCGH EMERGENCY-PEDS,2,JHU
ICU,JHH ZAYED 3W,18521,JHU
ICU,JHH WEINBERG 3A,15199,JHU
ICU,JHH ZAYED 10E,13673,JHU
ICU,JHH NELSON 5,13464,JHU
ICU,JHH ZAYED 9E,11015,JHU
ICU,JHH ZAYED 5E,10147,JHU
ICU,HCGH 3C ICU,10004,JHU
ICU,BMC MEDICAL ICU,8246,JHU
ICU,BMC CARDIAC ICU,8238,JHU
ICU,ZDEAC SMH ICU,8202,JHU
ICU,BMC NEUROSCIENCE CCU,8007,JHU
ICU,JHH ZAYED 5W,7947,JHU
ICU,SH 3100 INTENSIVE CARE,7263,JHU
ICU,SH 3400 INTENSIVE CARE,6764,JHU
ICU,BMC SURGICAL ICU,6752,JHU
ICU,BMC BURN ICU,4265,JHU
ICU,JHH BLOOMBERG 4S,763,JHU
ICU,SMH 2B ICU,521,JHU
ICU,JHH WEINBERG 5C,461,JHU
ICU,SH INTENSIVE CARE 3300,437,JHU
ICU,BMC OVERFLOW PACU ICU,212,JHU
ICU,JHH BLOOMBERG 4N,202,JHU
ICU,ZDEAC SH ICU 2400,114,JHU
ICU,JHH WBG OVFLW PACU ICU,98,JHU
ICU,SMH OVERFLOW PACU ICU,59,JHU
ICU,HCGH OVERFLOW PACU ICU,2,JHU
ICU,ACH 5S PICU,1,JHU
ICU,BMC NICU,1,JHU
ICU,HCGH 2C NICU,1,JHU
OR,JHH ZBOR3 PERIOP,43797,JHU
OR,JHH ZBOR5 PERIOP,37084,JHU
OR,JHH ENDO PERIOP,21524,JHU
OR,BMC MAIN PERIOP,19813,JHU
OR,JHH WBG PERIOP,16538,JHU
OR,SH MAIN OR PERIOP,11329,JHU
OR,HCGH MAIN OR PERIOP,9386,JHU
OR,BMC ENDO PERIOP,6548,JHU
OR,SMH MAIN OR PERIOP,6344,JHU
OR,DEAC JHH ZAYED 3 PACU,5331,JHU
OR,SMH MOPS PERIOP,4908,JHU
OR,DEAC JHH ZAYED 5 PACU,4852,JHU
OR,JHH OPH PERIOP,3511,JHU
OR,GSS PIII ASC PERIOP,3320,JHU
OR,ZDEAC TCAS PERIOP,3272,JHU
OR,JHOC PERIOP,2983,JHU
OR,SMB SASC PERIOP,1656,JHU
OR,GSS ASC PERIOP,1501,JHU
OR,JHH ZBOR4 PERIOP,1459,JHU
OR,WM SOM ASC PERIOP,1081,JHU
OR,KNOLL SOM ASC PERIOP,652,JHU
OR,HC ASC PERIOP,503,JHU
OR,SOC ASC PERIOP,461,JHU
OR,DEAC JHH BLOOMBERG 4 PACU,320,JHU
OR,BOULT ASC PERIOP,272,JHU
OR,BMC MINOR PERIOP,65,JHU
OR,JHH ZBOR3 INTRAOP,34,JHU
OR,GSS FER CTR ASC PERIOP,15,JHU
OR,BMC FCC PERIOP,14,JHU
OR,JHH ZBOR5 INTRAOP,9,JHU
OR,JHH WBG INTRAOP,4,JHU
OR,ACH MAIN OR PERIOP,2,JHU
OR,JHH ECT PERIOP,2,JHU
Other,JHH CVIL,28532,JHU
Other,JHH ZAYED IR,17922,JHU
Other,SH CV LAB,7769,JHU
Other,SH IR LAB,6754,JHU
Other,DEAC JHH PREHD,6448,JHU
Other,HCGH IRCV LAB,5362,JHU
Other,SMH IRCV LAB,3340,JHU
Other,DEAC JHH ZAYED EDHD 1W,3206,JHU
Other,JHH ZAYED NEURO IR,3088,JHU
Other,DEAC JHH ZAYED 5 CVIL,2313,JHU
Other,HCGH LABOR & DELIVERY,1787,JHU
Other,BMC LABOR AND DELIVERY,1505,JHU
Other,DEAC JHH ZAYED 3 IRC,1240,JHU
Other,DEAC BMC AMBULATORY SURG OB,946,JHU
Other,DEAC JHH ZAYED 4W ECHO,859,JHU
Other,DEAC BMC SAMEDAY ADMIT UNIT,518,JHU
Other,BMC CVIL,488,JHU
Other,SMH 3A L&D,199,JHU
Other,DEAC JHH NIR3,146,JHU
Other,ZDEAC SMH LABOR AND DELIVERY,79,JHU
Other,HCGH 2N MCU,77,JHU
Other,BMC OB A2W,73,JHU
Other,DEAC BMC TERR CIR MEDITECH,72,JHU
Other,DEAC BVBCP JHGC TERRACE,62,JHU
Other,SMH 4A,40,JHU
Other,DEAC BVBCP JHGC PLAZA,32,JHU
Other,DEAC BVBCP LAKESIDE MEDICAL,31,JHU
Other,SMH 4B,26,JHU
Other,DEAC JHH WILMER PREP,18,JHU
Other,DEAC BMC CHESAPEAKE COMP 01,17,JHU
Other,DEAC BMC TERRACE COMP 01,13,JHU
Other,DEAC JHH ZAYED 1W,3,JHU
Other,HCGH 3S SCU,3,JHU
Other,DEAC JHH RADIOLOGY WEINBERG,2,JHU
Other,SMH SEVEN EAST,2,JHU
Other,SMH THREE EAST,2,JHU
Other,BMC SURGICAL FLOOR,1,JHU
Other,DEAC BVBCP JHGC CHESA,1,JHU
Other,DEAC JHH BLOOMBERG 4 RADPD,1,JHU
Other,DEAC JHH CVDW,1,JHU
Other,DEAC JHH RADBL,1,JHU
Other,HCGH 1 NORTH,1,JHU
Other,HCGH PSYCHIATRY,1,JHU
Other,ZDEAC SMH THREE WEST,1,JHU
Ward,JHH BLOOMBERG 5S,15470,JHU
Ward,JHH ZAYED 10W,15385,JHU
Ward,BMC MEDICINE A,14392,JHU
Ward,BMC MEDICINE B,14330,JHU
Ward,HCGH 3S SCU,13090,JHU
Ward,HCGH 3P TELEMETRY,13016,JHU
Ward,BMC PRGRSIVE CARE UNIT,12595,JHU
Ward,BMC SURGICAL FLOOR,12229,JHU
Ward,BMC BRIDGEVIEW UNIT,12084,JHU
Ward,JHH ZAYED 9W,11252,JHU
