lab_category,lab_name,n,site
LDH,LACTATE DEHYDROGENASE,60459,JHU
LDH,LAB CHEM LACTATE DEHYDROGENASE,26085,JHU
LDH,LDH,1940,JHU
LDH,"LACTATE DEHYDROGENASE, EXTERNAL",1148,JHU
LDH,LD,54,JHU
LDH,LAB QUE LD TOTAL,34,JHU
albumin,ALBUMIN,1207785,JHU
albumin,LAB CHEM ALBUMIN,715743,JHU
albumin,"ALBUMIN, EXTERNAL",17898,JHU
albumin,LAB QUE ALBUMIN,585,JHU
albumin,"ALBUMIN, SERUM",565,JHU
albumin,"LAB IMM ALBUMIN, SERUM",268,JHU
albumin,"LAB QUE ALBUMIN, SERUM",45,JHU
albumin,"ALBUMIN,SERUM",24,JHU
alkaline_phosphatase,ALKALINE PHOSPHATASE,1082143,JHU
alkaline_phosphatase,LAB CHEM ALKALINE PHOSPHATASE,697256,JHU
alkaline_phosphatase,"ALKALINE PHOSPHATASE, S",98096,JHU
alkaline_phosphatase,"ALKALINE PHOSPHATASE, EXTERNAL",17971,JHU
alkaline_phosphatase,ALP,2990,JHU
alkaline_phosphatase,"ALKALINE PHOSPHATASE, TOTAL",431,JHU
alkaline_phosphatase,LAB QUE ALKALINE PHOSPHATASE (ALP),355,JHU
alkaline_phosphatase,ALK PHOS,4,JHU
alkaline_phosphatase,ALK PHOSPHATASE,1,JHU
alt,ALANINE AMINO TRANS,1052269,JHU
alt,LAB CHEM ALANINE AMINO TRANS,690765,JHU
alt,ALT (SGPT),101168,JHU
alt,ALT,32025,JHU
alt,"ALANINE AMINO TRANS, EXTERNAL",18014,JHU
alt,ALT (GPT),86,JHU
ast,ASPARTATE AMINO TRANS,1053449,JHU
ast,LAB CHEM ASPARTATE AMINO TRANS,647033,JHU
ast,AST (SGOT),101096,JHU
ast,AST,31894,JHU
ast,"ASPARTATE AMINO TRANS, EXTERNAL",18080,JHU
ast,AST (GOT),86,JHU
ast,ASPARTATE,1,JHU
basophil,BASOPHIL %,899651,JHU
basophil,LAB HEM BASOPHIL %,600894,JHU
basophil,BASOPHILS,185779,JHU
basophil,BASOS,181586,JHU
basophil,LAB HEM BASOPHILS,80920,JHU
basophil,BASOPHIL (%),55,JHU
basophil,BASOPHIL COUNT,55,JHU
