med_category,med_name,n,site
Inhaled,terbutaline,38,JHU
Inhaled,albuterol,9,JHU
Inhaled,ipratropium,1,JHU
anticoagulation,heparin,468633,JHU
anticoagulation,cangrelor,5068,JHU
anticoagulation,eptifibatide,2545,JHU
anticoagulation,argatroban,536,JHU
cardiac,amiodarone,127728,JHU
cardiac,nicardipine,49646,JHU
cardiac,diltiazem,23938,JHU
cardiac,lidocaine,6336,JHU
cardiac,esmolol,5303,JHU
cardiac,labetalol,2877,JHU
cardiac,nitroprusside,2421,JHU
cardiac,adenosine,1581,JHU
cardiac,procainamide,343,JHU
diuretics,furosemide,62306,JHU
diuretics,bumetanide,7823,JHU
endocrine,insulin,262355,JHU
endocrine,oxytocin,9001,JHU
endocrine,cosyntropin,20,JHU
fluids_electrolytes,lactated ringers,526398,JHU
fluids_electrolytes,dextrose,278500,JHU
fluids_electrolytes,sodium chloride,164332,JHU
fluids_electrolytes,bicarbonate,42518,JHU
fluids_electrolytes,tpn,7,JHU
gastrointestinal,octreotide,23040,JHU
gastrointestinal,pantoprazole,17062,JHU
others,naloxone,15303,JHU
others,magnesium,7037,JHU
others,levothyroxine,1238,JHU
others,bupivacaine,434,JHU
others,aminocaproic,268,JHU
others,aminophylline,81,JHU
others,zidovudine,25,JHU
others,tacrolimus,8,JHU
others,baclofen,1,JHU
paralytics,vecuronium,30899,JHU
paralytics,cisatracurium,9763,JHU
paralytics,rocuronium,4635,JHU
pulmonary vasodilators (IV),epoprostenol,421,JHU
pulmonary vasodilators (IV),treprostinil,6,JHU
sedation,fentanyl,507321,JHU
sedation,propofol,461971,JHU
sedation,hydromorphone,278132,JHU
sedation,dexmedetomidine,176988,JHU
sedation,ketamine,90411,JHU
sedation,midazolam,75917,JHU
sedation,morphine,27790,JHU
sedation,lorazepam,13244,JHU
sedation,pentobarbital,1817,JHU
sedation,remifentanil,41,JHU
sedation,NA,11,JHU
vasoactives,norepinephrine,287650,JHU
vasoactives,vasopressin,97063,JHU
vasoactives,dobutamine,64692,JHU
vasoactives,epinephrine,43491,JHU
vasoactives,phenylephrine,34047,JHU
vasoactives,milrinone,33845,JHU
vasoactives,dopamine,25754,JHU
vasoactives,isoproterenol,3604,JHU
