position_category,position_name,n,site
not_prone,Lying down,35308,JHU
not_prone,Lying left side,28210,JHU
not_prone,Lying right side,28112,JHU
not_prone,Semi fowlers;Pillow support,27168,JHU
not_prone,Sitting,26592,JHU
not_prone,Supine,25302,JHU
not_prone,Lying down;HOB equal/greater than 30 degrees,13790,JHU
not_prone,Lying left side;Pillow support,10244,JHU
not_prone,Lying right side;Pillow support,10018,JHU
not_prone,Supine;Pillow support,8308,JHU
not_prone,Semi fowlers,7394,JHU
not_prone,Lying right side;Semi fowlers;Pillow support,4891,JHU
not_prone,Lying left side;Semi fowlers;Pillow support,4719,JHU
not_prone,Pillow support;Semi fowlers,4167,JHU
not_prone,Supine;Semi fowlers;Pillow support,4165,JHU
not_prone,Lying down;HOB less than 30 degrees,1838,JHU
not_prone,HOB equal/greater than 30 degrees;Lying down,1700,JHU
not_prone,Semi fowlers;Pillow support;Lying right side,1537,JHU
not_prone,Semi fowlers;Pillow support;Lying left side,1525,JHU
not_prone,Supine;Semi fowlers,1441,JHU
not_prone,Pillow support;Lying right side,1316,JHU
not_prone,Pillow support;Lying left side,1267,JHU
not_prone,Pillow support;Supine,1065,JHU
not_prone,Turns self;Semi fowlers;Pillow support,968,JHU
not_prone,Sitting;Up in chair,716,JHU
not_prone,Lying left side;Semi fowlers,672,JHU
not_prone,Lying right side;Semi fowlers,672,JHU
not_prone,Lying left side;Pillow support;Semi fowlers,611,JHU
not_prone,Lying right side;Pillow support;Semi fowlers,584,JHU
not_prone,Sitting;HOB equal/greater than 30 degrees,537,JHU
not_prone,Semi fowlers;Pillow support;Supine,515,JHU
not_prone,Turns self;Supine,463,JHU
not_prone,Turns self;Semi fowlers,457,JHU
not_prone,Pillow support;Semi fowlers;Supine,444,JHU
not_prone,Pillow support;Semi fowlers;Lying left side,421,JHU
not_prone,Turns self;Lying right side,399,JHU
not_prone,Pillow support;Semi fowlers;Lying right side,388,JHU
not_prone,Lying down;HOB flat,382,JHU
not_prone,Turns self;Lying left side,360,JHU
not_prone,Semi fowlers;Supine,307,JHU
not_prone,Semi fowlers;Lying right side,306,JHU
not_prone,Semi fowlers;Lying left side,300,JHU
not_prone,Supine;Pillow support;Semi fowlers,285,JHU
not_prone,Semi fowlers;Supine;Pillow support,270,JHU
not_prone,Lying right side;Supine;Semi fowlers;Pillow support,247,JHU
not_prone,Semi fowlers;Pillow support;Turns self,246,JHU
not_prone,Lying down;Left lateral,244,JHU
not_prone,Lying left side;Supine;Semi fowlers;Pillow support,241,JHU
not_prone,Lying down;Right lateral,229,JHU
not_prone,Supine;Turns self,216,JHU
not_prone,Up in chair;Sitting,216,JHU
not_prone,Turns self;Sitting,202,JHU
not_prone,HOB equal/greater than 30 degrees;Sitting,185,JHU
not_prone,Supine;Lying left side,179,JHU
not_prone,Semi fowlers;Pillow support;Head midline,171,JHU
