ord_value,organism_name,organism_category
"^acinetobacter baumanii for susceptibility results, refer to culture m40229, ^ 8/21/14",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"^acinetobacter baumanii for susceptibility results, refer to culture t27117 on ^ 9/26/2014",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
^acinetobacter baumanii in both antibiotic resin removal bottles,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"10,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"10,000 cgt acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
100 acinetobacter baumanii,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"100,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"100,000 acinetobacter baumanii strain 2",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"110,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"120,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
1200 acinetobacter baumanii,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
130000 acinetobacter baumanii,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
140000 acinetobacter baumanii strain 2,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"150,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"160,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"170,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"190,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"20,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"20,000 cgt acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"200,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
200000 acinetobacter baumanii strain 1,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"21,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"23,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"230,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"30,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
30000 acinetobacter baumanii,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"320,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"350,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"37,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"380,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"40,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"400,000 acinetobacter baumanii strain 2",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"480,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"50,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"500,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
520000 acinetobacter baumanii,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"530,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"600,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"650,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"8,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
800 acinetobacter baumanii,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"800,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
80000 acinetobacter baumanii,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"830,000 acinetobacter baumanii",acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumanii complex,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumanii strain 1,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumanii strain 2,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumanii strain 3,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumannii,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumannii complex,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumannii complex mdr,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumanii/calcoaceticus,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumannii probable,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumannii probable previously identified,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter baumannii/calcoaceticus complex,acinetobacter_baumanii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter haemolyticus,acinetobacter_haemolyticus,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter haemolyticus previously identified,acinetobacter_haemolyticus,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter johnsonii,acinetobacter_johnsonii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter junii,acinetobacter_junii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
"350,000 acinetobacter lwoffi",acinetobacter_lwoffi,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter lwoffi,acinetobacter_lwoffi,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter lwoffii,acinetobacter_lwoffi,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter lwoffii probable,acinetobacter_lwoffi,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter parvus,acinetobacter_parvus,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter pittii,acinetobacter_pittii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter radioresistens,acinetobacter_radioresistens,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter species,acinetobacter_sp,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter species strain 1,acinetobacter_sp,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter species strain 2,acinetobacter_sp,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter species probable,acinetobacter_sp,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter sp.,acinetobacter_sp,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
acinetobacter ursingii,acinetobacter_ursingii,"acinetobacter (baumanii, calcoaceticus, lwoffi, other species)"
adenovirus,adenovirus_virus,adenovirus
^achromobacter (alcaligenes) xylosoxidans susceptibility invalid for this isolate,achromobacter_xylosoxidans,alcaligenes xylosoxidans
^achromobacter (alcaligenes) xylosoxidans susceptibility results not valid for ^ this organism,achromobacter_xylosoxidans,alcaligenes xylosoxidans
^achromobacter xylosoxidans/denitrificans disk diffusion results not valid for ^ this organism.,achromobacter_xylosoxidans,alcaligenes xylosoxidans
achromobacter (alcaligenes) xylosoxidans,achromobacter_xylosoxidans,alcaligenes xylosoxidans
achromobacter (alcaligenes) xylosoxidans strain 1,achromobacter_xylosoxidans,alcaligenes xylosoxidans
achromobacter (alcaligenes) xylosoxidans strain 2,achromobacter_xylosoxidans,alcaligenes xylosoxidans
achromobacter xylosoxidans/denitrificans,achromobacter_xylosoxidans,alcaligenes xylosoxidans
achromobacter xylosoxidans,achromobacter_xylosoxidans,alcaligenes xylosoxidans
achromobacter xylosoxidans most closely resembles,achromobacter_xylosoxidans,alcaligenes xylosoxidans
achromobacter xylosoxidans subspecies denitrificans,achromobacter_xylosoxidans,alcaligenes xylosoxidans
achromobacter xylosoxidans/ruhlandii,achromobacter_xylosoxidans,alcaligenes xylosoxidans
most closely resembles achromobacter xylosoxidans,achromobacter_xylosoxidans,alcaligenes xylosoxidans
alistipes finegoldii,alistipes_finegoldii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
