device_category,device_name,n,site
CPAP,CPAP,44281,ucmc
CPAP,CPAP;RAM Cannula,1984,ucmc
CPAP,RAM Cannula;CPAP,1216,ucmc
CPAP,Room Air;CPAP,160,ucmc
CPAP,RAM Cannula;CPAP;Humidified;Warmed,38,ucmc
CPAP,Nasal Cannula;CPAP,36,ucmc
CPAP,CPAP;Room Air,18,ucmc
CPAP,CPAP;Nasal Cannula,14,ucmc
CPAP,CPAP;Humidified;Warmed,8,ucmc
CPAP,CPAP;O2 Hood,8,ucmc
CPAP,CPAP;Humidified,4,ucmc
CPAP,High Flow NC;CPAP,3,ucmc
CPAP,CPAP;Warmed,2,ucmc
CPAP,Humidified;Warmed;CPAP;RAM Cannula,2,ucmc
CPAP,Aerosol Mask;CPAP,1,ucmc
CPAP,Humidified;CPAP,1,ucmc
CPAP,Nasal Cannula;Room Air;CPAP,1,ucmc
CPAP,Room Air;CPAP;Nasal Cannula,1,ucmc
CPAP,T-Piece;CPAP,1,ucmc
CPAP,Trach Collar;CPAP,1,ucmc
CPAP,Trach Collar;Humidified;CPAP,1,ucmc
CPAP,Venturi Mask;CPAP,1,ucmc
Face Mask,Room Air;Face Mask,15586,ucmc
Face Mask,Aerosol Mask,8509,ucmc
Face Mask,NRB Mask,6482,ucmc
Face Mask,Face Mask,3732,ucmc
Face Mask,Venturi Mask,1500,ucmc
Face Mask,Non-Rebreather,718,ucmc
Face Mask,Face Mask;Room Air,422,ucmc
Face Mask,Aerosol Mask;Humidified,326,ucmc
Face Mask,OxyMask,321,ucmc
Face Mask,Humidified;Aerosol Mask,75,ucmc
Face Mask,Room Air;Aerosol Mask,68,ucmc
Face Mask,Face Mask;Humidified,32,ucmc
Face Mask,Humidified;Face Mask,28,ucmc
Face Mask,Room Air;NRB Mask,24,ucmc
Face Mask,Vent;Venturi Mask;Humidified,18,ucmc
Face Mask,OxyMask;OxyTrach,17,ucmc
Face Mask,Vent;Venturi Mask,15,ucmc
Face Mask,Humidified;Venturi Mask,14,ucmc
Face Mask,NRB Mask;Room Air,14,ucmc
Face Mask,Face Mask;Aerosol Mask,13,ucmc
Face Mask,Venturi Mask;Humidified,12,ucmc
Face Mask,Aerosol Mask;Face Mask,11,ucmc
Face Mask,Aerosol Mask;Room Air,10,ucmc
Face Mask,NRB Mask;Humidified,6,ucmc
Face Mask,OxyMask;Humidified,6,ucmc
Face Mask,Room Air;Venturi Mask,5,ucmc
Face Mask,Face Tent;Aerosol Mask,4,ucmc
Face Mask,OxyMask;Room Air,4,ucmc
Face Mask,Room Air;Face Mask;OxyMask,4,ucmc
Face Mask,Venturi Mask;Vent,4,ucmc
Face Mask,Aerosol Mask;Face Tent,3,ucmc
Face Mask,Face Tent;Venturi Mask,3,ucmc
Face Mask,Room Air;OxyMask,3,ucmc
Face Mask,Vent ;Venturi Mask,3,ucmc
Face Mask,Vent;Humidified;Venturi Mask,3,ucmc
Face Mask,Venturi Mask;Room Air,3,ucmc
Face Mask,Venturi Mask;Warmed,3,ucmc
Face Mask,Aerosol Mask;Humidified;Warmed,2,ucmc
Face Mask,Aerosol Mask;Venturi Mask,2,ucmc
Face Mask,Aerosol Mask;Warmed,2,ucmc
Face Mask,Face Mask;Face Tent,2,ucmc
Face Mask,Humidified;NRB Mask,2,ucmc
Face Mask,Humidified;OxyMask,2,ucmc
Face Mask,NRB Mask;Face Mask,2,ucmc
Face Mask,OxyTrach;OxyMask,2,ucmc
Face Mask,Room Air;Aerosol Mask;Humidified,2,ucmc
Face Mask,Room Air;Humidified;OxyMask,2,ucmc
Face Mask,Venturi Mask;Face Tent,2,ucmc
Face Mask,Venturi Mask;Vent;Warmed;Humidified,2,ucmc
Face Mask,Venturi Mask;Warmed;Humidified,2,ucmc
Face Mask,Warmed;NRB Mask,2,ucmc
Face Mask,Warmed;Venturi Mask,2,ucmc
