vital_category,vital_name,n,site
dbp,BLOOD PRESSURE,12320372,ucmc
dbp,NUR RS ARTERIAL BLOOD PRESSURE,1995184,ucmc
dbp,NUR RS ARTERIAL BLOOD PRESSURE 2,7224,ucmc
height_inches,HEIGHT,1152840,ucmc
map,NUR TS MEAN ARTERIAL PRESSURE NOT CALCULATED,9559139,ucmc
map,NUR RS ARTERIAL LINE MEAN PRESSURE,2013154,ucmc
map,RT RS VENT PRESSURES MAP,840471,ucmc
map,NUR RS ARTERIAL LINE MEAN PRESSURE 2,7512,ucmc
map,NUR RA GI POST PROCEDURE MAP,7,ucmc
pulse,PULSE,16274822,ucmc
respiratory_rate,RESPIRATIONS,15099435,ucmc
sbp,BLOOD PRESSURE,12320372,ucmc
sbp,NUR RS ARTERIAL BLOOD PRESSURE,1995184,ucmc
sbp,NUR RS ARTERIAL BLOOD PRESSURE 2,7224,ucmc
spo2,PULSE OXIMETRY,15640988,ucmc
spo2,ST RA OB PACU SPO2,2714,ucmc
temp_c,TEMPERATURE,7870202,ucmc
temp_c,NUR RS CORE TEMPERATURE MEASUREMENT,62076,ucmc
temp_c,ST RA OB PACU TEMPERATURE,2713,ucmc
weight_kg,WEIGHT/SCALE,1884395,ucmc
weight_kg,TS RS PATIENT WEIGHT,1039,ucmc
weight_kg,IVTH RA PATIENT WEIGHT,381,ucmc
