N_Percentile,Thr_Value,TN,FP,FN,TP,Sensitivity,Specificity,PPV,NPV,Recall,Accuracy,Site_Name
Top 1%,0.642840884576289,18276,120,1448,80,0.0523560209424084,0.993476842791911,0.4,0.926586899209085,0.0523560209424084,0.921300943585625,Emory University
Top 2%,0.538950254695349,18128,268,1397,131,0.0857329842931937,0.985431615568602,0.328320802005013,0.928450704225352,0.0857329842931937,0.916432443284481,Emory University
Top 3%,0.478781527169175,17967,429,1359,169,0.110602094240838,0.976679712981083,0.282608695652174,0.929680223533064,0.110602094240838,0.910258984139731,Emory University
Top 4%,0.434369908531945,17812,584,1315,213,0.139397905759162,0.968253968253968,0.267252195734002,0.931249019710357,0.139397905759162,0.90468781369203,Emory University
Top 5%,0.395925762440884,17652,744,1275,253,0.165575916230366,0.95955642530985,0.253761283851555,0.932635916944048,0.165575916230366,0.898664926721542,Emory University
Top 6%,0.361616716985219,17484,912,1244,284,0.18586387434555,0.950424005218526,0.237458193979933,0.933575395130286,0.18586387434555,0.891788797430235,Emory University
Top 7%,0.33124245438785,17315,1081,1214,314,0.205497382198953,0.941237225483801,0.225089605734767,0.934481083706622,0.205497382198953,0.88481228668942,Emory University
Top 8%,0.309170084699852,17146,1250,1184,344,0.225130890052356,0.932050445749076,0.215809284818068,0.935406437534097,0.225130890052356,0.877835775948605,Emory University
Top 9%,0.287488959470615,16974,1422,1156,372,0.243455497382199,0.922700587084149,0.207357859531773,0.936238279095422,0.243455497382199,0.870608311584019,Emory University
Top 10%,0.270420893799695,16810,1586,1121,407,0.266361256544503,0.913785605566428,0.204214751630707,0.937482572081869,0.266361256544503,0.864133708090745,Emory University
Top 11%,0.252176269850206,16641,1755,1091,437,0.285994764397906,0.904598825831703,0.199361313868613,0.938472817505076,0.285994764397906,0.85715719734993,Emory University
Top 12%,0.237159456804749,16458,1938,1075,453,0.296465968586387,0.894651011089367,0.189460476787955,0.938687047282268,0.296465968586387,0.848775346316001,Emory University
Top 13%,0.224635682000994,16280,2116,1054,474,0.31020942408377,0.884974994564036,0.183011583011583,0.939194646359755,0.31020942408377,0.840895402529612,Emory University
Top 14%,0.213111181129526,16111,2285,1023,505,0.330497382198953,0.875788214829311,0.181003584229391,0.940294151978522,0.330497382198953,0.833969082513552,Emory University
Top 15%,0.202303855160862,15941,2455,994,534,0.349476439790576,0.866547075451185,0.178655068584811,0.941304989666371,0.349476439790576,0.826892190323228,Emory University
Top 16%,0.192532010601894,15772,2624,964,564,0.369109947643979,0.85736029571646,0.176913425345044,0.942399617590822,0.369109947643979,0.819915679582413,Emory University
Top 17%,0.183676253965567,15601,2795,936,592,0.387434554973822,0.848064796694934,0.174785946265131,0.943399649271331,0.387434554973822,0.812738405942582,Emory University
Top 18%,0.175301105739789,15423,2973,914,614,0.401832460732984,0.838388780169602,0.171173682743239,0.944053375772786,0.401832460732984,0.804908652880948,Emory University
Top 19%,0.167472056849526,15244,3152,894,634,0.414921465968586,0.82865840400087,0.167459059693608,0.944602800842731,0.414921465968586,0.796928327645051,Emory University
Top 20%,0.159803833361199,15071,3325,868,660,0.431937172774869,0.819254185692542,0.165621079046424,0.945542380324989,0.431937172774869,0.789550291106204,Emory University
Top 21%,0.15283971011075,14895,3501,845,683,0.446989528795811,0.809686888454012,0.163240917782027,0.946315120711563,0.446989528795811,0.781871110218832,Emory University
Top 22%,0.145093560566793,14717,3679,823,705,0.461387434554974,0.80001087192868,0.16081204379562,0.947039897039897,0.461387434554974,0.774041357157197,Emory University
Top 23%,0.139230283583887,14544,3852,797,731,0.478403141361257,0.790606653620352,0.159502509273402,0.948047715272798,0.478403141361257,0.76666332061835,Emory University
Top 24%,0.133667089890721,14366,4030,776,752,0.492146596858639,0.780930637095021,0.157256378084483,0.948751816140536,0.492146596858639,0.758783376831961,Emory University
Top 25%,0.128602414531366,14195,4201,748,780,0.510471204188482,0.771635138073494,0.156595061232684,0.949943117178612,0.510471204188482,0.75160610319213,Emory University
Top 26%,0.12319675789696,14011,4385,733,795,0.520287958115183,0.761632963687758,0.153474903474903,0.950284861638633,0.520287958115183,0.743123870708693,Emory University
Top 27%,0.117745966408631,13838,4558,706,822,0.537958115183246,0.75222874537943,0.152788104089219,0.951457645764576,0.537958115183246,0.735796024894599,Emory University
Top 28%,0.112513195388073,13656,4740,689,839,0.549083769633508,0.742335290280496,0.150385373722889,0.951969327291739,0.549083769633508,0.727514555310179,Emory University
Top 29%,0.108673172245881,13468,4928,678,850,0.556282722513089,0.732115677321157,0.147109726548979,0.952071256892408,0.556282722513089,0.718630797028709,Emory University
Top 30%,0.104467183343618,13287,5109,660,868,0.568062827225131,0.722276581865623,0.145223356198762,0.9526779952678,0.568062827225131,0.710449708893796,Emory University
Top 31%,0.100947969942686,13110,5286,637,891,0.583115183246073,0.712654924983692,0.144244779018941,0.95366261729832,0.583115183246073,0.70272033728167,Emory University
Top 32%,0.097412062057664,12925,5471,623,905,0.592277486910995,0.702598390954555,0.14193851944793,0.954015352819604,0.592277486910995,0.694137723348725,Emory University
Top 33%,0.0937556918839455,12748,5648,601,927,0.606675392670157,0.692976734072625,0.140988593155894,0.954977900966364,0.606675392670157,0.686358161011845,Emory University
Top 34%,0.0904337613504595,12574,5822,576,952,0.62303664921466,0.683518156120896,0.140537348686153,0.956197718631179,0.62303664921466,0.678879743023489,Emory University
Top 35%,0.0871445863412309,12392,6004,558,970,0.634816753926702,0.673624701021961,0.139088041296243,0.956911196911197,0.634816753926702,0.670648464163823,Emory University
Top 36%,0.0839409657232701,12210,6186,541,987,0.645942408376963,0.663731245923027,0.137599330823923,0.957571955140773,0.645942408376963,0.662366994579402,Emory University
