lab_category,lower_limit,upper_limit
albumin,0,100
alkaline_phosphatase,0,10000
ast,0,100000
basophil,0,100
bilirubin_total,0,100
bilirubin_conjugated,0,100
calcium,0,100
chloride,0,1000
hemoglobin,0,100
lymphocyte,0,100
monocyte,0,100
glucose_serum,0,10000
neutrophil,0,100
potassium,0,100
sodium,0,1000
total_protein,0,100
platelet_count,0,10000
wbc,0,1000
alt,0,100000
bilirubin_unconjugated,0,100
bun,0,1000
carbon_dioxide,0,100
creatinine,0,100
crp,0,1000
eosinophils,0,100
esr,0,100
ferritin,0,1000000
inorganic_phosphate,0,100
inr,0,100
lactic_acid,0,100
ldh,0,10000
magnesium,0,100
paco2,0,1000
pao2,0,1000
pco2_venous,0,1000
ph_arterial,5,9
ph_venous,5,9
procalcitonin,0,1000
pt,0,100
ptt,0,1000
sao2,0,100
so2_mixed_venous,0,100
troponin,0,1000
