lab_category,lower_limit,upper_limit
albumin,0,15
alkaline_phosphatase,0,5000
alt,0,90
ast,0,20000
basophil,0,20
bilirubin_conjugated,0,50
bilirubin_total,0,80
bilirubin_unconjugated,0,250
bun,0,35
calcium,0,20
carbon_dioxide,0,40
chloride,50,140
creatinine,0,20
crp,0,1000
eosinophils,0,25
esr,0,250
ferritin,0,300000
glucose_serum,0,2000
hemoglobin,2,25
inorganic_phosphate,0,15
inr,0,10
lactic_acid,0,100
ldh,80,10000
lymphocyte,0,100
magnesium,0,10
monocyte,0,100
neutrophil,0,100
paco2,0,250
pao2,0,200
pco2_venous,0,250
ph_arterial,6,10
ph_venous,5,10
platelet_count,0,2000
potassium,0,1000
procalcitonin,0,4
pt,0,200
ptt,0,200
sao2,80,100
so2_mixed_venous,10,100
sodium,70,210
total_protein,0,20
troponin,0,200
wbc,0,500
